50,largest1BorderedSquare,[43;]
26,n,[3;]
27,m,[4;]
28,a,[26;]
28,445884362[0],[44;]
28,grid,[50;44;]
28,b,[27;]
28,999661724[0],[44;]
30,ans,[25;]
31,a,[26;]
31,n,[3;]
31,m,[4;]
31,b,[27;]
32,a,[26;]
32,c,[31;]
32,1285044316[1],[16;]
32,245565335[0],[21;]
32,hl,[5;]
32,vl,[6;]
32,b,[27;]
34,a,[26;]
34,c,[31;]
34,hl,[5;]
34,b,[27;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
31,m,[4;]
31,b,[27;]
32,a,[26;]
32,2121744517[0],[21;]
32,c,[31;]
32,1285044316[2],[16;]
32,hl,[5;]
32,vl,[6;]
32,b,[27;]
34,a,[26;]
34,2121744517[2],[21;]
34,c,[31;]
34,358699161[2],[16;]
34,hl,[5;]
34,vl,[6;]
34,b,[27;]
35,ans,[30;]
35,c,[31;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
28,445884362[0],[44;]
28,grid,[50;44;]
28,999661724[1],[44;]
28,b,[27;]
30,ans,[35;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
31,m,[4;]
31,b,[27;]
32,a,[26;]
32,c,[31;]
32,1607460018[2],[16;]
32,hl,[5;]
32,vl,[6;]
32,b,[27;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
28,445884362[0],[44;]
28,999661724[2],[44;]
28,grid,[50;44;]
28,b,[27;]
30,ans,[30;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
31,m,[4;]
31,b,[27;]
27,m,[4;]
27,b,[27;]
26,a,[26;]
26,n,[3;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
28,445884362[1],[44;]
28,721748895[0],[44;]
28,grid,[50;44;]
28,b,[27;]
30,ans,[30;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
31,m,[4;]
31,b,[27;]
32,a,[26;]
32,c,[31;]
32,hl,[5;]
32,b,[27;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
28,445884362[1],[44;]
28,721748895[1],[44;]
28,grid,[50;44;]
28,b,[27;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
28,445884362[1],[44;]
28,721748895[2],[44;]
28,grid,[50;44;]
28,b,[27;]
30,ans,[30;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
31,m,[4;]
31,b,[27;]
27,m,[4;]
27,b,[27;]
26,a,[26;]
26,n,[3;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
28,445884362[2],[44;]
28,1642534850[0],[44;]
28,grid,[50;44;]
28,b,[27;]
30,ans,[30;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
