40,minimumMountainRemovals,[36;]
6,i,[6;]
6,n,[3;]
16,n,[3;]
18,n,[3;]
19,right,[16;]
19,n,[3;]
19,i,[18;]
21,n,[3;]
21,i,[18;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,610998173[7],[38;]
22,i,[18;]
23,728890494[6],[19;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
18,i,[18;]
19,right,[16;19;]
19,n,[3;]
19,i,[18;]
21,j,[21;]
21,n,[3;]
21,i,[18;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,610998173[5],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[5],[38;]
22,610998173[7],[38;]
22,i,[18;]
23,728890494[5],[19;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
18,i,[18;]
19,right,[16;19;]
19,n,[3;]
19,i,[18;]
21,j,[21;]
21,n,[3;]
21,i,[18;]
22,610998173[4],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[5],[38;]
22,i,[18;]
23,728890494[5],[23;]
23,728890494[4],[19;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[4],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,i,[18;]
23,728890494[6],[23;]
23,728890494[4],[23;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[4],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[7],[38;]
22,i,[18;]
23,728890494[4],[23;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
18,i,[18;]
19,right,[16;19;]
19,n,[3;]
19,i,[18;]
21,j,[21;]
21,n,[3;]
21,i,[18;]
22,610998173[4],[38;]
22,j,[21;]
22,610998173[3],[38;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,j,[21;]
22,610998173[3],[38;]
22,nums,[38;40;]
22,610998173[5],[38;]
22,i,[18;]
23,728890494[5],[23;]
23,j,[21;]
23,right,[16;19;]
23,728890494[3],[19;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
22,j,[21;]
22,610998173[3],[38;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,i,[18;]
23,728890494[6],[23;]
23,j,[21;]
23,right,[16;19;]
23,728890494[3],[23;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
22,j,[21;]
22,610998173[3],[38;]
22,nums,[38;40;]
22,610998173[7],[38;]
22,i,[18;]
23,j,[21;]
23,right,[16;19;]
23,728890494[3],[23;]
23,i,[18;]
21,j,[21;]
21,n,[3;]
18,i,[18;]
19,right,[16;19;]
19,n,[3;]
19,i,[18;]
21,j,[21;]
21,n,[3;]
21,i,[18;]
22,610998173[2],[38;]
22,j,[21;]
22,610998173[3],[38;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[2],[38;]
22,610998173[4],[38;]
22,j,[21;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[2],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[5],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[2],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[2],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[7],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
18,i,[18;]
19,right,[16;19;]
19,n,[3;]
19,i,[18;]
21,j,[21;]
21,n,[3;]
21,i,[18;]
22,610998173[2],[38;]
22,610998173[1],[38;]
22,j,[21;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[1],[38;]
22,j,[21;]
22,610998173[3],[38;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[1],[38;]
22,610998173[4],[38;]
22,j,[21;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[1],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[5],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[1],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[1],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[7],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
18,i,[18;]
19,right,[16;19;]
19,n,[3;]
19,i,[18;]
21,j,[21;]
21,n,[3;]
21,i,[18;]
22,610998173[0],[38;]
22,610998173[1],[38;]
22,j,[21;]
22,nums,[38;40;]
22,i,[18;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
23,728890494[1],[19;]
23,728890494[0],[19;]
21,j,[21;]
21,n,[3;]
22,610998173[0],[38;]
22,610998173[2],[38;]
22,j,[21;]
22,nums,[38;40;]
22,i,[18;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
23,728890494[2],[19;]
23,728890494[0],[23;]
21,j,[21;]
21,n,[3;]
22,610998173[0],[38;]
22,j,[21;]
22,610998173[3],[38;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[0],[38;]
22,610998173[4],[38;]
22,j,[21;]
22,nums,[38;40;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[0],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[5],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[0],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,i,[18;]
21,j,[21;]
21,n,[3;]
22,610998173[0],[38;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[7],[38;]
22,i,[18;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
23,728890494[0],[23;]
21,j,[21;]
21,n,[3;]
18,i,[18;]
29,n,[3;]
30,left,[4;7;]
30,i,[29;]
30,answer,[28;]
30,right,[16;19;]
30,1104106489[1],[7;]
30,728890494[1],[19;]
29,i,[29;]
29,n,[3;]
30,left,[4;7;]
30,i,[29;]
30,answer,[30;]
30,right,[16;19;]
30,1104106489[2],[7;]
30,728890494[2],[19;]
29,i,[29;]
29,n,[3;]
30,left,[4;7;]
30,i,[29;]
30,answer,[30;]
30,right,[16;19;]
30,1104106489[3],[11;]
30,728890494[3],[23;]
29,i,[29;]
29,n,[3;]
30,left,[4;7;]
30,728890494[4],[23;]
30,i,[29;]
30,answer,[30;]
30,right,[16;19;]
30,1104106489[4],[11;]
29,i,[29;]
29,n,[3;]
30,728890494[5],[23;]
30,left,[4;7;]
30,i,[29;]
30,answer,[30;]
30,right,[16;19;]
30,1104106489[5],[11;]
29,i,[29;]
29,n,[3;]
30,728890494[6],[23;]
30,left,[4;7;]
30,i,[29;]
30,answer,[30;]
30,right,[16;19;]
30,1104106489[6],[11;]
29,i,[29;]
29,n,[3;]
33,answer,[30;]
40,return_of_MinimumMountainRemovals#minimumMountainRemovals([I)I,[33;]
40,minimumMountainRemovals,[36;]
40,nums,[38;40;]
42,result,[40;]
