40,highestPeak,[35;]
40,isWater,[36;]
5,1496724653[0],[36;]
5,isWater,[36;40;]
7,n,[5;]
7,m,[5;]
8,h,[7;]
8,n,[5;]
9,i,[8;]
9,n,[5;]
10,m,[5;]
11,j,[10;]
11,1496724653[0],[36;]
11,isWater,[36;40;]
11,i,[9;]
11,1766822961[0],[36;]
12,j,[10;]
12,h,[7;]
12,i,[9;]
13,j,[10;]
13,q,[6;]
13,i,[9;]
20,q,[6;13;]
21,q,[6;13;]
22,cur,[21;]
22,1724731843[0],[13;]
22,1724731843[1],[13;]
24,1305193908[0],[17;]
24,c,[22;]
24,1313953385[0],[18;]
24,r,[22;]
24,dc,[18;]
24,k,[23;]
24,dr,[17;]
25,nr,[24;]
25,nc,[24;]
25,c,[22;]
25,r,[22;]
25,h,[7;]
25,n,[5;]
25,999661724[1],[12;]
25,m,[5;]
27,nr,[24;]
27,nc,[24;]
27,c,[22;]
27,r,[22;]
27,h,[7;]
27,999661724[1],[12;]
28,nr,[24;]
28,nc,[24;]
28,q,[6;13;]
32,h,[7;]
43,result,[40;]
43,HighestPeak.main.43:73,[40;]
43,HighestPeak.main.43:58,[40;]
44,row,[43;]
